gene,SW48-48h-12b1_Read_Count,SW48-48h-12b2_Read_Count,SW48-48h-12b3_Read_Count,SW48-48h-C1_Read_Count,SW48-48h-C2_Read_Count,SW48-48h-C3_Read_Count
SHROOM2,0,0,10,0,0,0
AQP1,90,96,100,97,110,87
AQP2,0,0,0,0,0,0
AQP3,40,27,32,44,65,24
AQP4,12,13,5,0,9,8
AQP5,0,0,0,0,0,0
AQP6,70,42,29,50,40,71
AQP7,0,0,0,0,0,0
AQP9,0,0,0,0,0,0
AR,0,3,0,3,0,0
ABCC6,0,0,0,3,0,5
ARAF,636,493,492,538,564,555
ARCN1,10929,9108,8534,9343,9969,8325
TRIM23,1292,938,858,870,1053,750
AREG,18847,14024,14404,14653,14424,12936
ARF1,25003,21556,20814,19394,20604,18564
ARF3,14127,12476,11910,12409,13816,11782
ARF4,5090,4045,4032,4549,4662,4102
ARL4D,8,15,18,13,15,13
ARF4P1,0,0,0,0,0,0
ARF5,9406,8259,7768,8291,8844,7697
ARF6,16043,12945,11904,14094,14570,11833
ARG1,0,0,0,0,0,0
ARG2,1090,838,840,757,734,655
RHOA,28270,22688,21649,19717,20488,17164
RHOB,5401,4629,4480,3092,2983,2732
RHOC,4583,3963,3892,3924,3888,3282
RND3,821,592,579,754,772,561
RHOG,1842,1553,1568,1345,1505,1328
ARHGAP1,3011,2870,2571,3066,3244,2818
ARHGAP4,3144,2672,2750,3432,3855,3375
ARHGAP5,7695,6126,5600,6143,6346,4824
ARHGAP6,7,0,0,0,8,0
ARHGDIA,13062,12357,12004,12371,13204,12015
ARHGDIB,0,0,0,0,0,0
ARHGDIG,0,13,7,21,8,13
RHOH,0,0,0,0,0,0
ARL1,4711,3491,3407,3964,4156,3256
PHOX2A,0,0,0,0,0,0
ARL2,3677,3399,3177,2958,3257,2796
ARL3,1284,974,964,1259,1172,997
ARNT,4586,3823,3729,3519,3470,3051
ARNTL,1416,1208,1144,1384,1307,1198
ARR3,0,0,0,1,0,0
ARRB1,2874,2673,2395,2298,2531,2233
ARRB2,4064,3463,3243,2934,3253,2878
ARSA,2235,2001,1949,2030,2168,2066
ARSB,542,441,458,502,469,438
STS,4,0,0,0,0,2
ARSD,982,847,886,816,921,725
ARSL,0,0,0,0,0,0
ARSF,0,0,0,0,0,0
ART1,0,0,0,0,0,0
ART3,0,0,0,0,0,0
ART4,0,0,0,0,0,0
ARVCF,2400,2244,2127,2155,2289,2056
ASAH1,5669,4590,4364,4731,4991,3952
ASCL1,0,0,0,0,0,0
ASCL2,375,302,323,364,397,405
ASGR1,318,297,258,138,172,165
ASGR2,2,0,0,0,0,0
ASIP,0,0,0,0,0,0
ASL,1717,1491,1470,1673,1654,1564
ASLP1,109,111,110,126,124,110
ASMT,0,0,0,0,0,0
GET3,2818,2858,2469,2800,2893,2617
ASNS,43748,33797,32359,38386,39634,32450
ASPA,0,0,0,0,0,0
ASPH,10038,8323,7820,9012,9529,7602
ASS1,7088,6372,5744,5343,5394,4916
ASS1P2,8,9,18,21,18,2
ASS1P4,0,0,0,0,0,0
ASS1P5,0,0,0,0,0,0
ASS1P6,0,0,0,0,0,0
ASS1P8,0,0,0,0,0,0
ASS1P9,0,0,0,0,0,0
ASS1P10,0,0,0,0,0,0
ASS1P14,0,0,0,0,0,0
ASTN1,0,0,0,0,0,0
SERPINC1,8,11,8,0,6,0
ZFHX3,3284,2913,2783,2917,3278,2679
ATF1,1266,861,1027,952,946,739
ATF3,715,596,549,886,874,734
ATF4,31407,26025,23613,19195,21549,17515
ATF4P1,36,32,14,39,24,28
ATIC,9002,7160,7253,7858,8384,7240
ATM,3401,2623,2590,3149,3365,2680
RERE,7053,6303,6100,4826,5480,4743
ATOH1,6,8,5,9,8,4
ATOX1,520,433,409,560,538,483
ATP1A1,27053,23088,21934,21735,23485,20639
ATP1A2,0,0,0,0,0,0
ATP1A3,6151,5605,5385,5013,5420,5186
ATP12A,11,14,14,13,16,11
ATP1A4,0,0,4,0,0,0
ATP1B1,7990,6603,5980,6263,6250,5291
ATP1B2,0,0,0,0,0,0
ATP1B3,8256,6627,6348,6719,7423,6062
ATP1B3P1,4,2,1,1,4,0
ATP1B1P1,15,8,19,11,6,16
FXYD2,0,0,0,0,0,0
ATP2A1,1672,1383,1462,1178,1330,1297
ATP2A2,24761,21586,20094,22917,24063,20743
ATP2A3,64,61,65,51,50,69
ATP2B1,5531,4254,4066,4900,4785,3925
ATP2B2,24,17,19,39,33,42
ATP2B3,0,0,0,7,0,0
ATP2B4,5846,4809,5105,4731,4902,4460
ATP4A,0,0,5,0,0,0
ATP4B,0,0,0,0,0,0
ATP5F1A,47758,39922,36078,39577,43004,35339
ALDH7A1,9405,7777,7103,8372,9135,7662
ATP5F1AP2,1,0,0,0,0,0
ATP5F1B,58915,49231,45000,48320,52238,44066
ATP5F1BP1,0,0,0,0,0,0
ATP5F1C,7857,6246,5870,6175,6656,5537
ATP5F1D,4904,4281,4026,4848,5541,5020
ATP5F1E,5187,4481,3777,4500,4769,4153
ATP5PB,6341,5241,4819,5781,6296,5047
ATP5MC1,833,752,737,1124,1092,1047
ATP5MC2,6347,5414,4973,4502,4762,4295
ATP5MC3,4390,3710,3390,4679,4506,4084
ATP5MC2P1,0,0,0,0,0,0
ATP5ME,1757,1569,1561,1702,1723,1630
ATP5PF,2020,1604,1393,2062,2098,1544
ATP6V1A,3532,2810,2423,3033,3165,2642
ATP6V1B1,0,0,0,0,0,0
ATP6V1B2,6332,5335,5126,4779,5169,4394
ATP6V0C,6258,5900,5666,5832,6235,5737
ATP6V1C1,3657,3168,2655,3100,3148,2663
ATP6V1E1,4491,3626,3563,3573,3658,3110
ATP6V0B,4125,3515,3191,3542,3626,3213
ATP6V1G2,64,72,67,66,63,56
ATP6V0A1,4849,4088,4181,4138,4536,3952
ATP6AP1,6161,5444,5320,5158,5306,4834
ATP7A,1790,1517,1369,1668,1810,1511
ATP5PO,6756,5457,5054,5205,5245,4722
ATP7B,2201,2087,1887,1890,2040,1942
ALDH7A1P1,5,7,5,6,5,10
ALDH7A1P3,0,0,0,0,0,0
ALDH7A1P4,0,0,0,0,0,0
ATR,3633,2838,2668,3140,3610,2746
ATRX,8639,6798,6614,6183,6995,5728
KIF1A,2,0,0,0,0,0
AUH,2378,1772,1878,1587,1534,1301
AUP1,4422,3739,3743,3856,3985,3696
AVP,4,0,0,0,0,2
AVPR1A,0,0,0,0,0,0
AVPR1B,0,16,0,4,9,6
AVPR2,0,0,0,0,0,0
AXL,1141,857,882,781,773,694
AZGP1,94,90,65,48,59,70
AZU1,17,10,26,8,14,0
B2M,4837,3957,3783,4750,4833,4153
BAAT,4,0,0,4,4,10
BACH1,4216,3342,3034,2844,3105,2405
BAD,1437,1246,1135,1274,1313,1103
BAG1,2608,1931,1906,1887,2031,1868
ADGRB1,252,229,254,239,289,293
ADGRB2,3722,3239,3222,3164,3653,3283
ADGRB3,0,0,0,0,0,0
BAK1,1492,1277,1201,1206,1262,1145
NKX3-2,0,0,0,0,0,0
BARD1,2217,1739,1634,2053,2126,1721
BAX,2281,2207,1972,2503,2517,2313
BBS1,1549,1379,1388,1530,1630,1474
BBS2,3710,3180,2943,2921,3065,2606
BBS4,1419,1120,1039,950,1001,849
BCAT1,0,0,0,0,3,0
BCAT2,2478,2264,1977,2200,2327,2119
BCHE,0,0,0,0,0,0
BCKDHA,1567,1439,1429,1205,1415,1276
BCKDHB,1928,1497,1489,1734,1773,1511
CCND1,29165,25274,22752,22463,22845,19787
BCL2,1818,1497,1377,1604,1804,1361
BCL2A1,0,0,0,0,0,0
BCL2L1,43635,36829,34976,30406,33033,29497
BCL2L2,4260,3660,3484,3232,3439,2981
BAK1P1,105,112,96,109,91,109
BAK1P2,0,0,0,0,0,0
BCL3,690,603,604,586,618,633
BCL6,2675,2491,2373,2018,2086,1889
BCL7A,4116,3606,3394,2953,3127,2716
NBEAP1,0,0,0,0,0,0
BCL9,2732,2342,2392,2322,2599,2335
TNFRSF17,0,0,0,0,0,0
HCN2,1204,1045,1064,872,917,877
OPN1SW,0,0,0,0,0,0
BCR,9996,9121,8465,9204,9532,8695
BCS1L,1502,1236,1188,1479,1530,1420
BCYRN1,37,30,26,32,33,18
