gene,coef,abs_coef
MIR210HG,-0.0032680915901819978,0.0032680915901819978
AKAP7,0.0032575551910675776,0.0032575551910675776
DYRK1B,0.003247335479050595,0.003247335479050595
ATP5MC1,-0.003206819100684874,0.003206819100684874
VPS9D1-AS1,-0.0032051425915575636,0.0032051425915575636
SAT1,0.0031260224428538074,0.0031260224428538074
MIRLET7BHG,0.003061295515379693,0.003061295515379693
ALDOA,-0.003053097073782562,0.003053097073782562
LOC105379078,-0.003042981599355714,0.003042981599355714
RGS20,-0.0030122301884619937,0.0030122301884619937
SNHG7,0.002921952454135171,0.002921952454135171
SLC5A3,0.002903686214601586,0.002903686214601586
SLC35G5,0.002900271838747297,0.002900271838747297
RASA4,0.002823315710726749,0.002823315710726749
KRT80,0.002820574831707725,0.002820574831707725
STRCP1,0.0028127381971575914,0.0028127381971575914
LINC00173,-0.0028048244730856315,0.0028048244730856315
L1CAM,0.0027924276498430107,0.0027924276498430107
TSNARE1,0.0027489905552622,0.0027489905552622
CHPF,0.002724044161986889,0.002724044161986889
LOC105377022,0.0027212966005866488,0.0027212966005866488
PSD,0.0027079076900100823,0.0027079076900100823
TSPOAP1,-0.0026977567718484323,0.0026977567718484323
AHNAK2,0.002596850350621037,0.002596850350621037
WFIKKN1,0.0025758546302297727,0.0025758546302297727
CRYAA,0.0025692275183624162,0.0025692275183624162
TJP3,0.0025678398931396787,0.0025678398931396787
RPL5P34,0.0025635195083788544,0.0025635195083788544
ZNF76,-0.002540029168771977,0.002540029168771977
IRAK3,-0.002483347214323416,0.002483347214323416
ZNF385D,0.002447726908858947,0.002447726908858947
LOC284240,0.0024418861580822815,0.0024418861580822815
LOC105372407,0.002436163604152604,0.002436163604152604
TNFSF12,0.0024326467591882822,0.0024326467591882822
IGFN1,0.002432033266138285,0.002432033266138285
UCP2,-0.002424341381150461,0.002424341381150461
GLI1,-0.0023975904173596796,0.0023975904173596796
KLHL21,0.0023967233285874003,0.0023967233285874003
GAB2,0.0023726145517769855,0.0023726145517769855
LOC101928331,0.002358856095106895,0.002358856095106895
MAST1,0.002318527346356482,0.002318527346356482
FAM81A,-0.002271873368551718,0.002271873368551718
LAMB3,0.0022380158844232893,0.0022380158844232893
FBLIM1,0.002223340376255317,0.002223340376255317
AMOTL1,0.0021700528413926695,0.0021700528413926695
TMEM59L,0.0021553806513751254,0.0021553806513751254
SNORD3A,0.002134237422000468,0.002134237422000468
ACSBG1,0.0021320781807332156,0.0021320781807332156
HMGA1,0.002120770595584512,0.002120770595584512
PCDHGA10,0.0021051994408085254,0.0021051994408085254
BARX1,-0.0020665288916068498,0.0020665288916068498
RPS8P4,0.002030471086967497,0.002030471086967497
